NORMALISATION DICTIONARY AUDIT
Total entries : 349
Mapped words  : 340
Noise (dropped): 9
========================================================================
  Original (Roman)       Normalised (Devanagari)      Domains
  hridai                 हृदय                         body-parts
  hyena                  लकड़बग्घा                    animals
  idli                   इडली                         foods
  indigo                 इंडिगो                       colours
  jackal                 गीदड़                        animals
  jeeb                   जीभ                          body-parts
  jeebh                  जीभ                          body-parts
  kaala                  काला                         colours
  kaan                   कान                          body-parts
  kaansya                काँस्य                       colours
  kabootar               कबूतर                        animals
  kacchhuaa              कछुआ                         animals
  kachori                कचौरी                        foods
  kaddu                  कद्दू                        foods
  karela                 करेला                        foods
  khargosh               खरगोश                        animals
  khicdi                 खिचड़ी                       foods
  khoon                  खून                          body-parts
  khopdi                 खोपड़ी                       body-parts
  knee                   घुटना                        body-parts
  kohni                  कोहनी                        body-parts
  kutta                  कुत्ता                       animals
  laal                   लाल                          colours
  ladoon cake            लड्डू                        foods
  ladyfinger             भिंडी                        foods
  lal                    लाल                          colours
  langoor                लंगूर                        animals
  lassi                  लस्सी                        foods
  lauki                  लौकी                         foods
  lays                   लेज़                         foods
  leapord                तेंदुआ                       animals
  leg                    टाँग                         body-parts
  leopard                तेंदुआ                       animals
  lion                   शेर                          animals
  lomdi                  लोमड़ी                       animals
  maanspeshiya           माँसपेशियाँ                  body-parts
  maatha                 माथा                         body-parts
  macchi                 मछली                         foods
  machli                 मछली                         animals, foods
  macroni                पास्ता                       foods
  magarmacch             मगरमच्छ                      animals
  magenta                मैजेंटा                      colours
  maggi                  मैगी                         foods
  mango                  आम                           foods
  maroon                 मैरून                        colours
  masoor                 मसूर                         foods
  matar                  मटर                          foods
  mausambi               मौसंबी                       foods
  meetha                 DROPPED (noise word)         foods
  mice                   चूहा                         animals
  milk                   दूध                          foods
  mirchi                 मिर्ची                       foods
  mix veg                सब्ज़ी                       foods
  monkey                 बंदर                         animals
  moong                  मूँग                         foods
  moong daal             मूँग दाल                     foods
  moor                   मोर                          animals
  mor                    मोर                          animals
  mouse                  चूहा                         animals
  mu                     मुँह                         body-parts
  muh                    मुँह                         body-parts
  murga                  मुर्गा                       animals, foods
  murgi                  मुर्गी                       animals
  mutton                 मटन                          foods
  naak                   नाक                          body-parts
  naarangi               नारंगी                       colours
  naaringe               नारंगी                       colours
  nakh                   नाक                          body-parts
  navy                   नेवी                         colours
  navy blue              नेवी                         colours
  neela                  नीला                         colours
  neon green             हरा                          colours
  noodles                नूडल्स                       foods
  nose                   नाक                          body-parts
  oil                    तेल                          foods
  olive green            जैतूनी                       colours
  onion                  प्याज                        foods
  oont                   ऊँट                          animals
  orange                 नारंगी                       colours, foods
  owl                    उल्लू                        animals
  ox                     बैल                          animals
  paani                  पानी                         foods
  pair                   पैर                          body-parts
  pait                   पेट                          body-parts
  pakshi                 पक्षी                        animals
  palak                  पालक                         foods
  palm                   हथेली                        body-parts
  paneer                 पनीर                         foods
  paneer sizzler         पनीर                         foods
  pani puri              पानी पूरी                    foods
  paratha                पराठा                        foods
  parrot                 तोता                         animals
  pasta                  पास्ता                       foods
  pastry                 पेस्ट्री                     foods
  peacock                मोर                          animals
  peas                   मटर                          foods
  peela                  पीला                         colours
  peeth                  पीठ                          body-parts
  peigien                कबूतर                        animals
  penguin                पेंगुइन                      animals
  pet                    पेट                          body-parts
  petha                  पेठा                         foods
  pig                    सूअर                         animals
  pink                   गुलाबी                       colours
  pizza                  पिज्जा                       foods
  potatoes               आलू                          foods
  potatop                आलू                          foods
  pulse                  दाल                          foods
  pulses                 दाल                          foods
  puma                   प्यूमा                       animals
  purple                 बैंगनी                       colours
  pyaaz                  प्याज                        foods
  python                 अजगर                         animals
  rabbit                 खरगोश                        animals
  radish                 मूली                         foods
  rajat                  रजत                          colours
  rajma                  राजमा                        foods
  ramen                  रामेन                        foods
  rasam                  रसम                          foods
  rat                    चूहा                         animals
  red                    लाल                          colours
  rice                   चावल                         foods
  roti                   रोटी                         foods
  royal blue             रॉयल ब्लू                    colours
  saanp                  साँप                         animals
  saap                   साँप                         animals
  sabzi                  सब्ज़ी                       foods
  safed                  सफेद                         colours
  saffron                केसरिया                      colours
  safid                  सफेद                         colours
  samaosa                समोसा                        foods
  samaso                 समोसा                        foods
  sambar                 साँभर                        foods
  sandwich               सैंडविच                      foods
  santara                नारंगी                       colours, foods
  sapphire               नीला                         colours
  saprrow                गौरैया                       animals
  sar                    सिर                          body-parts
  seb                    सेब                          foods
  shark                  शार्क                        animals
  sheep                  भेड़                         animals
  sher                   शेर                          animals
  silver                 चाँदी                        colours
  simh                   सिंह                         animals
  sir                    सिर                          body-parts
  sitaphal               सीताफल                       foods
  sky blue               आसमानी                       colours
  snake                  साँप                         animals
  soya bean              सोयाबीन                      foods
  soyabean               सोयाबीन                      foods
  sparrow                गौरैया                       animals
  spinach                पालक                         foods
  suar                   सूअर                         animals
  suar (pork)            सूअर                         foods
  swadisht               DROPPED (noise word)         foods
  swarna                 स्वर्ण                       colours
  sweets                 मिठाई                        foods
  taang                  टाँग                         body-parts
  tamatar                टमाटर                        foods
  tea                    चाय                          foods
  teal                   टील                          colours
  teekha                 DROPPED (noise word)         foods
  tiffins                DROPPED (noise word)         foods
  tiger                  बाघ                          animals
  tinda                  टिंडा                        foods
  toe                    पैर की उँगली                 body-parts
  tomato                 टमाटर                        foods
  tricep                 ट्राइसेप                     body-parts
  turquoise              फ़िरोज़ी                     colours
  ungli                  उँगली                        body-parts
  ungliyan               उँगली                        body-parts
  urad                   उड़द                         foods
  vada                   वड़ा                         foods
  violet                 बैंगनी                       colours
  whale                  व्हेल                        animals
  what                   DROPPED (noise word)         animals
  wheat                  गेहूँ                        foods
  white                  सफेद                         colours
  wolf                   भेड़िया                      animals
  yellow                 पीला                         colours
  zebra                  ज़ेब्रा                      animals
========================================================================
